vehicle_id,brand,model,year,category,required_photo_type,status
60020,John Deere,8R 410,2024,Tracteurs agricoles,"Photo d’un tracteur agricole correspondant à la marque et au modèle ; cabine, pneus, équipement et vue trois-quarts.",UNASSIGNED_NON_DESTRUCTIVE
60059,John Deere,8R 410,2024,Tracteurs agricoles,"Photo d’un tracteur agricole correspondant à la marque et au modèle ; cabine, pneus, équipement et vue trois-quarts.",UNASSIGNED_NON_DESTRUCTIVE
60181,John Deere,933 Vario ProfiPlus,2023,Tracteurs agricoles,"Photo d’un tracteur agricole correspondant à la marque et au modèle ; cabine, pneus, équipement et vue trois-quarts.",UNASSIGNED_NON_DESTRUCTIVE
60221,John Deere,Axion 870,2021,Tracteurs agricoles,"Photo d’un tracteur agricole correspondant à la marque et au modèle ; cabine, pneus, équipement et vue trois-quarts.",UNASSIGNED_NON_DESTRUCTIVE
60161,John Deere,Axion 870,2024,Tracteurs agricoles,"Photo d’un tracteur agricole correspondant à la marque et au modèle ; cabine, pneus, équipement et vue trois-quarts.",UNASSIGNED_NON_DESTRUCTIVE
240017,Branson,F50RN,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240005,Case IH,Optum 300,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240003,Claas,Axion 870,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240006,Deutz-Fahr,Agrotron 9340,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240001,Fendt,Vario 942,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240007,JCB,Fastrac 8330,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240002,John Deere,8R 410,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240018,Kioti,RX7320,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240011,Kubota,M7173,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240014,Lamborghini,Spire 100,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240012,Landini,Rex 4-120,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240009,Massey Ferguson,8S.305,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240010,McCormick,X8.680,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240004,New Holland,T7.315,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240013,Same,Virtus 140,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240019,Solis,90 N,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240016,Steyr,Terrus 6300,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240008,Valtra,S416,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
240015,Zetor,Forterra 150,2023,Machines agricoles / chantier,"Photo de la même machine agricole ou de chantier, avec l’équipement et la configuration correspondants.",UNASSIGNED_NON_DESTRUCTIVE
150023,Mercedes-Benz / Setra,Mercedes-Benz Intouro,2023,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150001,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,2019,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150031,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,2019,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150021,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,2021,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150011,Mercedes-Benz / Setra,Mercedes-Benz Tourismo,2023,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150026,Mercedes-Benz / Setra,Neoplan Tourliner,2020,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150016,Mercedes-Benz / Setra,Neoplan Tourliner,2022,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150006,Mercedes-Benz / Setra,Neoplan Tourliner,2024,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150036,Mercedes-Benz / Setra,Neoplan Tourliner,2024,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150007,Mercedes-Benz / Setra,Scania Interlink,2019,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150037,Mercedes-Benz / Setra,Scania Interlink,2019,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150027,Mercedes-Benz / Setra,Scania Interlink,2021,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150017,Mercedes-Benz / Setra,Scania Interlink,2023,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
150014,Mercedes-Benz / Setra,Setra S,2020,Bus / autocars,"Photo d’un bus ou autocar de la même marque et du même modèle ; extérieur principal, arrière et intérieur passagers si disponible.",UNASSIGNED_NON_DESTRUCTIVE
